總類,起始,結束,版本
C,0000,01F5,1.1
C,01F6,01F9,3.0
C,01FA,0217,1.1
C,0218,021F,3.0
C,0220,0220,3.2
C,0221,0221,4.0
C,0222,0233,3.0
C,0234,0236,4.0
C,0237,0241,4.1
C,0242,024F,5.0
C,0250,02A8,1.1
C,02A9,02AD,3.0
C,02AE,02AF,4.0
C,02B0,02DE,1.1
C,02DF,02DF,3.0
C,02E0,02E9,1.1
C,02EA,02EE,3.0
C,02EF,02FF,4.0
C,0300,0345,1.1
C,0346,034E,3.0
C,034F,034F,3.2
C,0350,0357,4.0
C,0358,035C,4.1
C,035D,035F,4.0
C,0360,0361,1.1
C,0362,0362,3.0
C,0363,036F,3.2
C,0370,0373,5.1
C,0374,0375,1.1
C,0376,0377,5.1
R,0378,0379,0
C,037A,037A,1.1
C,037B,037D,5.0
C,037E,037E,1.1
C,037F,037F,7.0
R,0380,0383,0
C,0384,038A,1.1
R,038B,038B,0
C,038C,038C,1.1
R,038D,038D,0
C,038E,03A1,1.1
R,03A2,03A2,0
C,03A3,03CE,1.1
C,03CF,03CF,5.1
C,03D0,03D6,1.1
C,03D7,03D7,3.0
C,03D8,03D9,3.2
C,03DA,03DA,1.1
C,03DB,03DB,3.0
C,03DC,03DC,1.1
C,03DD,03DD,3.0
C,03DE,03DE,1.1
C,03DF,03DF,3.0
C,03E0,03E0,1.1
C,03E1,03E1,3.0
C,03E2,03F3,1.1
C,03F4,03F5,3.1
C,03F6,03F6,3.2
C,03F7,03FB,4.0
C,03FC,03FF,4.1
C,0400,0400,3.0
C,0401,040C,1.1
C,040D,040D,3.0
C,040E,044F,1.1
C,0450,0450,3.0
C,0451,045C,1.1
C,045D,045D,3.0
C,045E,0486,1.1
C,0487,0487,5.1
C,0488,0489,3.0
C,048A,048B,3.2
C,048C,048F,3.0
C,0490,04C4,1.1
C,04C5,04C6,3.2
C,04C7,04C8,1.1
C,04C9,04CA,3.2
C,04CB,04CC,1.1
C,04CD,04CE,3.2
C,04CF,04CF,5.0
C,04D0,04EB,1.1
C,04EC,04ED,3.0
C,04EE,04F5,1.1
C,04F6,04F7,4.1
C,04F8,04F9,1.1
C,04FA,04FF,5.0
C,0500,050F,3.2
C,0510,0513,5.0
C,0514,0523,5.1
C,0524,0525,5.2
C,0526,0527,6.0
C,0528,052F,7.0
R,0530,0530,0
C,0531,0556,1.1
R,0557,0558,0
C,0559,055F,1.1
C,0560,0560,11.0
C,0561,0587,1.1
C,0588,0588,11.0
C,0589,0589,1.1
C,058A,058A,3.0
R,058B,058C,0
C,058D,058E,7.0
C,058F,058F,6.1
R,0590,0590,0
C,0591,05A1,2.0
C,05A2,05A2,4.1
C,05A3,05AF,2.0
C,05B0,05B9,1.1
C,05BA,05BA,5.0
C,05BB,05C3,1.1
C,05C4,05C4,2.0
C,05C5,05C7,4.1
R,05C8,05CF,0
C,05D0,05EA,1.1
R,05EB,05EE,0
C,05EF,05EF,11.0
C,05F0,05F4,1.1
R,05F5,05FF,0
C,0600,0603,4.0
C,0604,0604,6.1
C,0605,0605,7.0
C,0606,060A,5.1
C,060B,060B,4.1
C,060C,060C,1.1
C,060D,0615,4.0
C,0616,061A,5.1
C,061B,061B,1.1
C,061C,061C,6.3
R,061D,061D,0
C,061E,061E,4.1
C,061F,061F,1.1
C,0620,0620,6.0
C,0621,063A,1.1
C,063B,063F,5.1
C,0640,0652,1.1
C,0653,0655,3.0
C,0656,0658,4.0
C,0659,065E,4.1
C,065F,065F,6.0
C,0660,066D,1.1
C,066E,066F,3.2
C,0670,06B7,1.1
C,06B8,06B9,3.0
C,06BA,06BE,1.1
C,06BF,06BF,3.0
C,06C0,06CE,1.1
C,06CF,06CF,3.0
C,06D0,06ED,1.1
C,06EE,06EF,4.0
C,06F0,06F9,1.1
C,06FA,06FE,3.0
C,06FF,06FF,4.0
C,0700,070D,3.0
R,070E,070E,0
C,070F,072C,3.0
C,072D,072F,4.0
C,0730,074A,3.0
R,074B,074C,0
C,074D,074F,4.0
C,0750,076D,4.1
C,076E,077F,5.1
C,0780,07B0,3.0
C,07B1,07B1,3.2
R,07B2,07BF,0
C,07C0,07FA,5.0
R,07FB,07FC,0
C,07FD,07FF,11.0
C,0800,082D,5.2
R,082E,082F,0
C,0830,083E,5.2
R,083F,083F,0
C,0840,085B,6.0
R,085C,085D,0
C,085E,085E,6.0
R,085F,085F,0
C,0860,086A,10.0
R,086B,089F,0
C,08A0,08A0,6.1
C,08A1,08A1,7.0
C,08A2,08AC,6.1
C,08AD,08B2,7.0
C,08B3,08B4,8.0
R,08B5,08B5,0
C,08B6,08BD,9.0
R,08BE,08D2,0
C,08D3,08D3,11.0
C,08D4,08E2,9.0
C,08E3,08E3,8.0
C,08E4,08FE,6.1
C,08FF,08FF,7.0
C,0900,0900,5.2
C,0901,0903,1.1
C,0904,0904,4.0
C,0905,0939,1.1
C,093A,093B,6.0
C,093C,094D,1.1
C,094E,094E,5.2
C,094F,094F,6.0
C,0950,0954,1.1
C,0955,0955,5.2
C,0956,0957,6.0
C,0958,0970,1.1
C,0971,0972,5.1
C,0973,0977,6.0
C,0978,0978,7.0
C,0979,097A,5.2
C,097B,097C,5.0
C,097D,097D,4.1
C,097E,097F,5.0
C,0980,0980,7.0
C,0981,0983,1.1
R,0984,0984,0
C,0985,098C,1.1
R,098D,098E,0
C,098F,0990,1.1
R,0991,0992,0
C,0993,09A8,1.1
R,09A9,09A9,0
C,09AA,09B0,1.1
R,09B1,09B1,0
C,09B2,09B2,1.1
R,09B3,09B5,0
C,09B6,09B9,1.1
R,09BA,09BB,0
C,09BC,09BC,1.1
C,09BD,09BD,4.0
C,09BE,09C4,1.1
R,09C5,09C6,0
C,09C7,09C8,1.1
R,09C9,09CA,0
C,09CB,09CD,1.1
C,09CE,09CE,4.1
R,09CF,09D6,0
C,09D7,09D7,1.1
R,09D8,09DB,0
C,09DC,09DD,1.1
R,09DE,09DE,0
C,09DF,09E3,1.1
R,09E4,09E5,0
C,09E6,09FA,1.1
C,09FB,09FB,5.2
C,09FC,09FD,10.0
C,09FE,09FE,11.0
R,09FF,0A00,0
C,0A01,0A01,4.0
C,0A02,0A02,1.1
C,0A03,0A03,4.0
R,0A04,0A04,0
C,0A05,0A0A,1.1
R,0A0B,0A0E,0
C,0A0F,0A10,1.1
R,0A11,0A12,0
C,0A13,0A28,1.1
R,0A29,0A29,0
C,0A2A,0A30,1.1
R,0A31,0A31,0
C,0A32,0A33,1.1
R,0A34,0A34,0
C,0A35,0A36,1.1
R,0A37,0A37,0
C,0A38,0A39,1.1
R,0A3A,0A3B,0
C,0A3C,0A3C,1.1
R,0A3D,0A3D,0
C,0A3E,0A42,1.1
R,0A43,0A46,0
C,0A47,0A48,1.1
R,0A49,0A4A,0
C,0A4B,0A4D,1.1
R,0A4E,0A50,0
C,0A51,0A51,5.1
R,0A52,0A58,0
C,0A59,0A5C,1.1
R,0A5D,0A5D,0
C,0A5E,0A5E,1.1
R,0A5F,0A65,0
C,0A66,0A74,1.1
C,0A75,0A75,5.1
C,0A76,0A76,11.0
R,0A77,0A80,0
C,0A81,0A83,1.1
R,0A84,0A84,0
C,0A85,0A8B,1.1
C,0A8C,0A8C,4.0
C,0A8D,0A8D,1.1
R,0A8E,0A8E,0
C,0A8F,0A91,1.1
R,0A92,0A92,0
C,0A93,0AA8,1.1
R,0AA9,0AA9,0
C,0AAA,0AB0,1.1
R,0AB1,0AB1,0
C,0AB2,0AB3,1.1
R,0AB4,0AB4,0
C,0AB5,0AB9,1.1
R,0ABA,0ABB,0
C,0ABC,0AC5,1.1
R,0AC6,0AC6,0
C,0AC7,0AC9,1.1
R,0ACA,0ACA,0
C,0ACB,0ACD,1.1
R,0ACE,0ACF,0
C,0AD0,0AD0,1.1
R,0AD1,0ADF,0
C,0AE0,0AE0,1.1
C,0AE1,0AE3,4.0
R,0AE4,0AE5,0
C,0AE6,0AEF,1.1
C,0AF0,0AF0,6.1
C,0AF1,0AF1,4.0
R,0AF2,0AF8,0
C,0AF9,0AF9,8.0
C,0AFA,0AFF,10.0
R,0B00,0B00,0
C,0B01,0B03,1.1
R,0B04,0B04,0
C,0B05,0B0C,1.1
R,0B0D,0B0E,0
C,0B0F,0B10,1.1
R,0B11,0B12,0
C,0B13,0B28,1.1
R,0B29,0B29,0
C,0B2A,0B30,1.1
R,0B31,0B31,0
C,0B32,0B33,1.1
R,0B34,0B34,0
C,0B35,0B35,4.0
C,0B36,0B39,1.1
R,0B3A,0B3B,0
C,0B3C,0B43,1.1
C,0B44,0B44,5.1
R,0B45,0B46,0
C,0B47,0B48,1.1
R,0B49,0B4A,0
